,Tweets,Tweets_token,rating_description_str,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized,tokenized
0,The guy is getting away with everything illegal ! Why should THIS be a concern? Let me know when they subpoena him and bring him to court to answer to all his illegal acts. #HASHTAG# #URL#,"['The', 'guy', 'is', 'getting', 'away', 'with', 'everything', 'illegal', '!', 'Why', 'should', 'THIS', 'be', 'a', 'concern?', 'Let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'acts.', '#HASHTAG#', '#URL#']",The guy is getting away with everything illegal ! Why should THIS be a concern? Let me know when they subpoena him and bring him to court to answer to all his illegal acts. #HASHTAG# #URL#,"['the', 'guy', 'is', 'getting', 'away', 'with', 'everything', 'illegal', '!', 'why', 'should', 'this', 'be', 'a', 'concern', '?', 'let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'acts', '.', '#', 'hashtag', '#', '#', 'url', '#']","['the', 'guy', 'is', 'getting', 'away', 'with', 'everything', 'illegal', 'why', 'should', 'this', 'be', 'a', 'concern', 'let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'acts', 'hashtag', 'url']","['guy', 'getting', 'away', 'with', 'everything', 'illegal', 'why', 'should', 'this', 'be', 'concern', 'let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'acts', 'hashtag']","[('guy', 'NN'), ('getting', 'VBG'), ('away', 'RB'), ('with', 'IN'), ('everything', 'NN'), ('illegal', 'JJ'), ('why', 'WRB'), ('should', 'MD'), ('this', 'DT'), ('be', 'VB'), ('concern', 'NN'), ('let', 'VB'), ('me', 'PRP'), ('know', 'VB'), ('when', 'WRB'), ('they', 'PRP'), ('subpoena', 'VBP'), ('him', 'PRP'), ('and', 'CC'), ('bring', 'VB'), ('him', 'PRP'), ('to', 'TO'), ('court', 'NN'), ('to', 'TO'), ('answer', 'VB'), ('to', 'TO'), ('all', 'DT'), ('his', 'PRP$'), ('illegal', 'JJ'), ('acts', 'NNS'), ('hashtag', 'VBP')]","[('guy', 'n'), ('getting', 'v'), ('away', 'r'), ('with', 'n'), ('everything', 'n'), ('illegal', 'a'), ('why', 'n'), ('should', 'n'), ('this', 'n'), ('be', 'v'), ('concern', 'n'), ('let', 'v'), ('me', 'n'), ('know', 'v'), ('when', 'n'), ('they', 'n'), ('subpoena', 'v'), ('him', 'n'), ('and', 'n'), ('bring', 'v'), ('him', 'n'), ('to', 'n'), ('court', 'n'), ('to', 'n'), ('answer', 'v'), ('to', 'n'), ('all', 'n'), ('his', 'n'), ('illegal', 'a'), ('acts', 'n'), ('hashtag', 'v')]","['guy', 'get', 'away', 'with', 'everything', 'illegal', 'why', 'should', 'this', 'be', 'concern', 'let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'act', 'hashtag']","['The', 'guy', 'is', 'getting', 'away', 'with', 'everything', 'illegal', '!', 'Why', 'should', 'THIS', 'be', 'a', 'concern', '?', 'Let', 'me', 'know', 'when', 'they', 'subpoena', 'him', 'and', 'bring', 'him', 'to', 'court', 'to', 'answer', 'to', 'all', 'his', 'illegal', 'acts', '.', '#', 'HASHTAG', '#', '#', 'URL', '#']"
1,#USER# #USER# #USER# Wow...I guess his father would have been so proud how he raised his son. #HASHTAG#,"['#USER#', '#USER#', '#USER#', 'Wow...I', 'guess', 'his', 'father', 'would', 'have', 'been', 'so', 'proud', 'how', 'he', 'raised', 'his', 'son.', '#HASHTAG#']",#USER# #USER# #USER# Wow...I guess his father would have been so proud how he raised his son. #HASHTAG#,"['#', 'user', '#', '#', 'user', '#', '#', 'user', '#', 'wow', '...', 'i', 'guess', 'his', 'father', 'would', 'have', 'been', 'so', 'proud', 'how', 'he', 'raised', 'his', 'son', '.', '#', 'hashtag', '#']","['user', 'user', 'user', 'wow', '...', 'i', 'guess', 'his', 'father', 'would', 'have', 'been', 'so', 'proud', 'how', 'he', 'raised', 'his', 'son', 'hashtag']","['wow', '...', 'i', 'guess', 'his', 'father', 'would', 'been', 'so', 'proud', 'how', 'he', 'raised', 'his', 'son', 'hashtag']","[('wow', 'NN'), ('...', ':'), ('i', 'NN'), ('guess', 'VBD'), ('his', 'PRP$'), ('father', 'NN'), ('would', 'MD'), ('been', 'VBN'), ('so', 'RB'), ('proud', 'JJ'), ('how', 'WRB'), ('he', 'PRP'), ('raised', 'VBD'), ('his', 'PRP$'), ('son', 'NN'), ('hashtag', 'NN')]","[('wow', 'n'), ('...', 'n'), ('i', 'n'), ('guess', 'v'), ('his', 'n'), ('father', 'n'), ('would', 'n'), ('been', 'v'), ('so', 'r'), ('proud', 'a'), ('how', 'n'), ('he', 'n'), ('raised', 'v'), ('his', 'n'), ('son', 'n'), ('hashtag', 'n')]","['wow', '...', 'i', 'guess', 'his', 'father', 'would', 'be', 'so', 'proud', 'how', 'he', 'raise', 'his', 'son', 'hashtag']","['#', 'USER', '#', '#', 'USER', '#', '#', 'USER', '#', 'Wow', '...', 'I', 'guess', 'his', 'father', 'would', 'have', 'been', 'so', 'proud', 'how', 'he', 'raised', 'his', 'son', '.', '#', 'HASHTAG', '#']"
2,#USER# #USER# Holy moly...are there 74million of these wackos??? Why didn’t they arrest her for inciting violence and harm against Speaker Pelosi and Schumer?,"['#USER#', '#USER#', 'Holy', 'moly...are', 'there', '74million', 'of', 'these', 'wackos???', 'Why', 'did not', 'they', 'arrest', 'her', 'for', 'inciting', 'violence', 'and', 'harm', 'against', 'Speaker', 'Pelosi', 'and', 'Schumer?']",#USER# #USER# Holy moly...are there 74million of these wackos??? Why did not they arrest her for inciting violence and harm against Speaker Pelosi and Schumer?,"['#', 'user', '#', '#', 'user', '#', 'holy', 'moly', '...', 'are', 'there', '74million', 'of', 'these', 'wackos', '?', '?', '?', 'why', 'did', 'not', 'they', 'arrest', 'her', 'for', 'inciting', 'violence', 'and', 'harm', 'against', 'speaker', 'pelosi', 'and', 'schumer', '?']","['user', 'user', 'holy', 'moly', '...', 'are', 'there', '74million', 'of', 'these', 'wackos', 'why', 'did', 'not', 'they', 'arrest', 'her', 'for', 'inciting', 'violence', 'and', 'harm', 'against', 'speaker', 'pelosi', 'and', 'schumer']","['holy', 'moly', '...', 'are', 'there', '74million', 'these', 'wackos', 'why', 'did', 'not', 'they', 'arrest', 'her', 'inciting', 'violence', 'and', 'harm', 'against', 'speaker', 'pelosi', 'and', 'schumer']","[('holy', 'NN'), ('moly', 'NN'), ('...', ':'), ('are', 'VBP'), ('there', 'RB'), ('74million', 'CD'), ('these', 'DT'), ('wackos', 'NNS'), ('why', 'WRB'), ('did', 'VBD'), ('not', 'RB'), ('they', 'PRP'), ('arrest', 'VBP'), ('her', 'PRP$'), ('inciting', 'JJ'), ('violence', 'NN'), ('and', 'CC'), ('harm', 'NN'), ('against', 'IN'), ('speaker', 'NN'), ('pelosi', 'NN'), ('and', 'CC'), ('schumer', 'NN')]","[('holy', 'n'), ('moly', 'n'), ('...', 'n'), ('are', 'v'), ('there', 'r'), ('74million', 'n'), ('these', 'n'), ('wackos', 'n'), ('why', 'n'), ('did', 'v'), ('not', 'r'), ('they', 'n'), ('arrest', 'v'), ('her', 'n'), ('inciting', 'a'), ('violence', 'n'), ('and', 'n'), ('harm', 'n'), ('against', 'n'), ('speaker', 'n'), ('pelosi', 'n'), ('and', 'n'), ('schumer', 'n')]","['holy', 'moly', '...', 'be', 'there', '74million', 'these', 'wacko', 'why', 'do', 'not', 'they', 'arrest', 'her', 'inciting', 'violence', 'and', 'harm', 'against', 'speaker', 'pelosi', 'and', 'schumer']","['#', 'USER', '#', '#', 'USER', '#', 'Holy', 'moly', '...', 'are', 'there', '74million', 'of', 'these', 'wackos', '?', '?', '?', 'Why', 'did', 'not', 'they', 'arrest', 'her', 'for', 'inciting', 'violence', 'and', 'harm', 'against', 'Speaker', 'Pelosi', 'and', 'Schumer', '?']"
3,Oh how they love to pose and advertise their disloyalty to the their country! #HASHTAG# #HASHTAG# #HASHTAG# #HASHTAG##HASHTAG# #URL#,"['Oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'the', 'their', 'country!', '#HASHTAG#', '#HASHTAG#', '#HASHTAG#', '#HASHTAG##HASHTAG#', '#URL#']",Oh how they love to pose and advertise their disloyalty to the their country! #HASHTAG# #HASHTAG# #HASHTAG# #HASHTAG##HASHTAG# #URL#,"['oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'the', 'their', 'country', '!', '#', 'hashtag', '#', '#', 'hashtag', '#', '#', 'hashtag', '#', '#', 'hashtag', '#', '#', 'hashtag', '#', '#', 'url', '#']","['oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'the', 'their', 'country', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'url']","['oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'their', 'country', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag']","[('oh', 'UH'), ('how', 'WRB'), ('they', 'PRP'), ('love', 'VBP'), ('to', 'TO'), ('pose', 'VB'), ('and', 'CC'), ('advertise', 'VB'), ('their', 'PRP$'), ('disloyalty', 'NN'), ('to', 'TO'), ('their', 'PRP$'), ('country', 'NN'), ('hashtag', 'VBZ'), ('hashtag', 'JJ'), ('hashtag', 'NN'), ('hashtag', 'NN'), ('hashtag', 'NN')]","[('oh', 'n'), ('how', 'n'), ('they', 'n'), ('love', 'v'), ('to', 'n'), ('pose', 'v'), ('and', 'n'), ('advertise', 'v'), ('their', 'n'), ('disloyalty', 'n'), ('to', 'n'), ('their', 'n'), ('country', 'n'), ('hashtag', 'v'), ('hashtag', 'a'), ('hashtag', 'n'), ('hashtag', 'n'), ('hashtag', 'n')]","['oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'their', 'country', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag']","['Oh', 'how', 'they', 'love', 'to', 'pose', 'and', 'advertise', 'their', 'disloyalty', 'to', 'the', 'their', 'country', '!', '#', 'HASHTAG', '#', '#', 'HASHTAG', '#', '#', 'HASHTAG', '#', '#', 'HASHTAG', '#', '#', 'HASHTAG', '#', '#', 'URL', '#']"
4,#USER# Manchin…the Grinch that stole Americans a better lifestyle !! #URL#,"['#USER#', 'Manchin…the', 'Grinch', 'that', 'stole', 'Americans', 'a', 'better', 'lifestyle', '!!', '#URL#']",#USER# Manchin…the Grinch that stole Americans a better lifestyle !! #URL#,"['#', 'user', '#', 'manchin…the', 'grinch', 'that', 'stole', 'americans', 'a', 'better', 'lifestyle', '!', '!', '#', 'url', '#']","['user', 'manchin…the', 'grinch', 'that', 'stole', 'americans', 'a', 'better', 'lifestyle', 'url']","['manchin…the', 'grinch', 'that', 'stole', 'americans', 'better', 'lifestyle']","[('manchin…the', 'NN'), ('grinch', 'NN'), ('that', 'WDT'), ('stole', 'JJ'), ('americans', 'NNS'), ('better', 'RBR'), ('lifestyle', 'NN')]","[('manchin…the', 'n'), ('grinch', 'n'), ('that', 'n'), ('stole', 'a'), ('americans', 'n'), ('better', 'r'), ('lifestyle', 'n')]","['manchin…the', 'grinch', 'that', 'stole', 'american', 'well', 'lifestyle']","['#', 'USER', '#', 'Manchin…the', 'Grinch', 'that', 'stole', 'Americans', 'a', 'better', 'lifestyle', '!', '!', '#', 'URL', '#']"
5,#USER# Sanders tries to encourage Americans to live outside their box. They will appreciate him in years to come.,"['#USER#', 'Sanders', 'tries', 'to', 'encourage', 'Americans', 'to', 'live', 'outside', 'their', 'box.', 'They', 'will', 'appreciate', 'him', 'in', 'years', 'to', 'come.']",#USER# Sanders tries to encourage Americans to live outside their box. They will appreciate him in years to come.,"['#', 'user', '#', 'sanders', 'tries', 'to', 'encourage', 'americans', 'to', 'live', 'outside', 'their', 'box', '.', 'they', 'will', 'appreciate', 'him', 'in', 'years', 'to', 'come', '.']","['user', 'sanders', 'tries', 'to', 'encourage', 'americans', 'to', 'live', 'outside', 'their', 'box', 'they', 'will', 'appreciate', 'him', 'in', 'years', 'to', 'come']","['sanders', 'tries', 'to', 'encourage', 'americans', 'to', 'live', 'outside', 'their', 'box', 'they', 'will', 'appreciate', 'him', 'in', 'years', 'to', 'come']","[('sanders', 'NNS'), ('tries', 'NNS'), ('to', 'TO'), ('encourage', 'VB'), ('americans', 'NNS'), ('to', 'TO'), ('live', 'VB'), ('outside', 'IN'), ('their', 'PRP$'), ('box', 'NN'), ('they', 'PRP'), ('will', 'MD'), ('appreciate', 'VB'), ('him', 'PRP'), ('in', 'IN'), ('years', 'NNS'), ('to', 'TO'), ('come', 'VB')]","[('sanders', 'n'), ('tries', 'n'), ('to', 'n'), ('encourage', 'v'), ('americans', 'n'), ('to', 'n'), ('live', 'v'), ('outside', 'n'), ('their', 'n'), ('box', 'n'), ('they', 'n'), ('will', 'n'), ('appreciate', 'v'), ('him', 'n'), ('in', 'n'), ('years', 'n'), ('to', 'n'), ('come', 'v')]","['sander', 'try', 'to', 'encourage', 'american', 'to', 'live', 'outside', 'their', 'box', 'they', 'will', 'appreciate', 'him', 'in', 'year', 'to', 'come']","['#', 'USER', '#', 'Sanders', 'tries', 'to', 'encourage', 'Americans', 'to', 'live', 'outside', 'their', 'box', '.', 'They', 'will', 'appreciate', 'him', 'in', 'years', 'to', 'come', '.']"
6,Psycho in aisle 3...need back up!! #HASHTAG# #URL#,"['Psycho', 'in', 'aisle', '3...need', 'back', 'up!!', '#HASHTAG#', '#URL#']",Psycho in aisle 3...need back up!! #HASHTAG# #URL#,"['psycho', 'in', 'aisle', '3', '...', 'need', 'back', 'up', '!', '!', '#', 'hashtag', '#', '#', 'url', '#']","['psycho', 'in', 'aisle', '3', '...', 'need', 'back', 'up', 'hashtag', 'url']","['psycho', 'in', 'aisle', '3', '...', 'need', 'back', 'up', 'hashtag']","[('psycho', 'NN'), ('in', 'IN'), ('aisle', 'JJ'), ('3', 'CD'), ('...', ':'), ('need', 'NN'), ('back', 'RB'), ('up', 'RP'), ('hashtag', 'NN')]","[('psycho', 'n'), ('in', 'n'), ('aisle', 'a'), ('3', 'n'), ('...', 'n'), ('need', 'n'), ('back', 'r'), ('up', 'r'), ('hashtag', 'n')]","['psycho', 'in', 'aisle', '3', '...', 'need', 'back', 'up', 'hashtag']","['Psycho', 'in', 'aisle', '3', '...', 'need', 'back', 'up', '!', '!', '#', 'HASHTAG', '#', '#', 'URL', '#']"
7,"#USER# They’re all indicating they desperately need hearts, cause clearly besides having no brains they have no heart.","['#USER#', 'They are', 'all', 'indicating', 'they', 'desperately', 'need', 'hearts,', 'because', 'clearly', 'besides', 'having', 'no', 'brains', 'they', 'have', 'no', 'heart.']","#USER# They are all indicating they desperately need hearts, because clearly besides having no brains they have no heart.","['#', 'user', '#', 'they', 'are', 'all', 'indicating', 'they', 'desperately', 'need', 'hearts', ',', 'because', 'clearly', 'besides', 'having', 'no', 'brains', 'they', 'have', 'no', 'heart', '.']","['user', 'they', 'are', 'all', 'indicating', 'they', 'desperately', 'need', 'hearts', 'because', 'clearly', 'besides', 'having', 'no', 'brains', 'they', 'have', 'no', 'heart']","['they', 'are', 'all', 'indicating', 'they', 'desperately', 'need', 'hearts', 'because', 'clearly', 'besides', 'having', 'no', 'brains', 'they', 'no', 'heart']","[('they', 'PRP'), ('are', 'VBP'), ('all', 'DT'), ('indicating', 'VBG'), ('they', 'PRP'), ('desperately', 'RB'), ('need', 'VBP'), ('hearts', 'NNS'), ('because', 'IN'), ('clearly', 'RB'), ('besides', 'IN'), ('having', 'VBG'), ('no', 'DT'), ('brains', 'NNS'), ('they', 'PRP'), ('no', 'DT'), ('heart', 'NN')]","[('they', 'n'), ('are', 'v'), ('all', 'n'), ('indicating', 'v'), ('they', 'n'), ('desperately', 'r'), ('need', 'v'), ('hearts', 'n'), ('because', 'n'), ('clearly', 'r'), ('besides', 'n'), ('having', 'v'), ('no', 'n'), ('brains', 'n'), ('they', 'n'), ('no', 'n'), ('heart', 'n')]","['they', 'be', 'all', 'indicate', 'they', 'desperately', 'need', 'heart', 'because', 'clearly', 'besides', 'have', 'no', 'brain', 'they', 'no', 'heart']","['#', 'USER', '#', 'They', 'are', 'all', 'indicating', 'they', 'desperately', 'need', 'hearts', ',', 'because', 'clearly', 'besides', 'having', 'no', 'brains', 'they', 'have', 'no', 'heart', '.']"
8,#USER# #USER# He’s ( former guy) a deranged psycho murderer!,"['#USER#', '#USER#', 'He is', '(', 'former', 'guy)', 'a', 'deranged', 'psycho', 'murderer!']",#USER# #USER# He is ( former guy) a deranged psycho murderer!,"['#', 'user', '#', '#', 'user', '#', 'he', 'is', '(', 'former', 'guy', ')', 'a', 'deranged', 'psycho', 'murderer', '!']","['user', 'user', 'he', 'is', 'former', 'guy', 'a', 'deranged', 'psycho', 'murderer']","['he', 'former', 'guy', 'deranged', 'psycho', 'murderer']","[('he', 'PRP'), ('former', 'JJ'), ('guy', 'NN'), ('deranged', 'VBD'), ('psycho', 'JJ'), ('murderer', 'NN')]","[('he', 'n'), ('former', 'a'), ('guy', 'n'), ('deranged', 'v'), ('psycho', 'a'), ('murderer', 'n')]","['he', 'former', 'guy', 'derange', 'psycho', 'murderer']","['#', 'USER', '#', '#', 'USER', '#', 'He', 'is', '(', 'former', 'guy', ')', 'a', 'deranged', 'psycho', 'murderer', '!']"
9,"#USER# Do they not realize that by posing with this statue they shall be cursed for the rest of their lives? And not wearing masks helps the curse last even longer, to eternal damnation !!! 😂😂😂😂🎪☠️💀🕷🤡","['#USER#', 'Do', 'they', 'not', 'realize', 'that', 'by', 'posing', 'with', 'this', 'statue', 'they', 'shall', 'be', 'cursed', 'for', 'the', 'rest', 'of', 'their', 'lives?', 'And', 'not', 'wearing', 'masks', 'helps', 'the', 'curse', 'last', 'even', 'longer,', 'to', 'eternal', 'damnation', '!!!', '😂😂😂😂🎪☠️💀🕷🤡']","#USER# Do they not realize that by posing with this statue they shall be cursed for the rest of their lives? And not wearing masks helps the curse last even longer, to eternal damnation !!! 😂😂😂😂🎪☠️💀🕷🤡","['#', 'user', '#', 'do', 'they', 'not', 'realize', 'that', 'by', 'posing', 'with', 'this', 'statue', 'they', 'shall', 'be', 'cursed', 'for', 'the', 'rest', 'of', 'their', 'lives', '?', 'and', 'not', 'wearing', 'masks', 'helps', 'the', 'curse', 'last', 'even', 'longer', ',', 'to', 'eternal', 'damnation', '!', '!', '!', '😂😂😂😂🎪☠️💀🕷🤡']","['user', 'do', 'they', 'not', 'realize', 'that', 'by', 'posing', 'with', 'this', 'statue', 'they', 'shall', 'be', 'cursed', 'for', 'the', 'rest', 'of', 'their', 'lives', 'and', 'not', 'wearing', 'masks', 'helps', 'the', 'curse', 'last', 'even', 'longer', 'to', 'eternal', 'damnation', '😂😂😂😂🎪☠️💀🕷🤡']","['do', 'they', 'not', 'realize', 'that', 'by', 'posing', 'with', 'this', 'statue', 'they', 'shall', 'be', 'cursed', 'rest', 'their', 'lives', 'and', 'not', 'wearing', 'masks', 'helps', 'curse', 'last', 'even', 'longer', 'to', 'eternal', 'damnation', '😂😂😂😂🎪☠️💀🕷🤡']","[('do', 'VBP'), ('they', 'PRP'), ('not', 'RB'), ('realize', 'VB'), ('that', 'IN'), ('by', 'IN'), ('posing', 'VBG'), ('with', 'IN'), ('this', 'DT'), ('statue', 'NN'), ('they', 'PRP'), ('shall', 'MD'), ('be', 'VB'), ('cursed', 'VBN'), ('rest', 'VB'), ('their', 'PRP$'), ('lives', 'NNS'), ('and', 'CC'), ('not', 'RB'), ('wearing', 'VBG'), ('masks', 'NNS'), ('helps', 'VBZ'), ('curse', 'VB'), ('last', 'JJ'), ('even', 'RB'), ('longer', 'RBR'), ('to', 'TO'), ('eternal', 'JJ'), ('damnation', 'NN'), ('😂😂😂😂🎪☠️💀🕷🤡', 'NN')]","[('do', 'v'), ('they', 'n'), ('not', 'r'), ('realize', 'v'), ('that', 'n'), ('by', 'n'), ('posing', 'v'), ('with', 'n'), ('this', 'n'), ('statue', 'n'), ('they', 'n'), ('shall', 'n'), ('be', 'v'), ('cursed', 'v'), ('rest', 'v'), ('their', 'n'), ('lives', 'n'), ('and', 'n'), ('not', 'r'), ('wearing', 'v'), ('masks', 'n'), ('helps', 'v'), ('curse', 'v'), ('last', 'a'), ('even', 'r'), ('longer', 'r'), ('to', 'n'), ('eternal', 'a'), ('damnation', 'n'), ('😂😂😂😂🎪☠️💀🕷🤡', 'n')]","['do', 'they', 'not', 'realize', 'that', 'by', 'pose', 'with', 'this', 'statue', 'they', 'shall', 'be', 'curse', 'rest', 'their', 'life', 'and', 'not', 'wear', 'mask', 'help', 'curse', 'last', 'even', 'longer', 'to', 'eternal', 'damnation', '😂😂😂😂🎪☠️💀🕷🤡']","['#', 'USER', '#', 'Do', 'they', 'not', 'realize', 'that', 'by', 'posing', 'with', 'this', 'statue', 'they', 'shall', 'be', 'cursed', 'for', 'the', 'rest', 'of', 'their', 'lives', '?', 'And', 'not', 'wearing', 'masks', 'helps', 'the', 'curse', 'last', 'even', 'longer', ',', 'to', 'eternal', 'damnation', '!', '!', '!', '😂😂😂😂🎪☠️💀🕷🤡']"
